plot;def;height;DBH;canopyA;mycrhz;pci;richness.05;richness.010;shannon.05;shannon.010;shrubcov.05;shrubcov.010;FRic05;FEve05;FDiv05;RaoQ05;FRic010;FEve010;FDiv010;RaoQ010;NMDS1.05;NMDS2.05;NMDS1;NMDS2;NMDS1.010;NMDS2.010;Ndef.m;Ntindex;Ndindex;basalA.hectare;tree.hectare;slope;comp;aridity.index;evapotrans;lat;long;pH;CO3;C;N;pbray;NO3;NH4;Ca.mol;Mg.mol;K.mol;Na.mol;humid;sand;grazer;cattle;sheep;pig;reforestation;NDBH.m;LAB.a.010;LAB.a.05;LAB.r.010;LAB.r.05;CIS.a.010;CIS.a.05;CIS.r.010;CIS.r.05;FAB.a.010;FAB.a.05;FAB.r.010;FAB.r.05;plot
Jarrama;25;0.42629134;1.786486977;1.807277247;0.43890422;0.149587744;0.428030685;0.417493789;0.259592446;0.102754588;-0.381207238;-0.121897907;-0.16872324;0.563655291;0.838146024;-0.291480997;-0.263512066;0.30403097;1.217587211;-0.232430234;-0.146167601;0.007196892;0.626530435;-0.185704731;0.172718981;-0.378543375;0.142846634;-0.217617718;-0.219404179;-0.043009606;-0.920432848;0.052886373;0.148035035;0.910551047;0.087256532;-0.521245981;-0.417470696;0.27728236;-0.101915926;0.717576079;0.244649117;-0.037078807;0.089387451;0.002450573;0.98061248;-1.175464505;0.934582816;0.611676831;1.083375656;0.627136716;0;0;0;0;0;2.108118856;-0.496864726;-0.452508824;-0.513989305;-0.466534796;0.492354378;0.274882183;1.333751087;1.324087228;-0.31617219;-0.289843844;-0.30547436;-0.281906369;La Acebuchosa
La Acebuchosa;29;0.240153854;0.698682174;0.162094535;-0.016432282;-0.532873601;-1.015673653;-1.026276992;-0.99129904;-0.871280449;-0.882714289;-0.864362421;-0.277475241;-0.885023312;-0.815777223;-0.20544009;-0.130944727;-0.639337182;-0.729191703;0.724109168;-0.507886599;-0.330933155;-0.78147353;1.481698339;0.997203052;0.332546919;-0.113745721;-0.299263081;0.170535577;-0.262815644;-0.349116067;-0.169842179;-0.488527886;-1.309286325;-0.957234879;-1.336272499;-1.111787579;-0.51932095;-0.101915926;-0.118356636;0.190384862;0.25870824;0.511727936;-0.634029285;-0.416725442;0.646577754;-0.482624422;-1.746237017;0.104132581;0.343174598;P+O;NB;O;P;0;0.240904525;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.67969592;-0.620828438;-0.18281216;-0.212340455;-0.388774728;-0.316641059;-0.367025164;-0.053826463;La Alcuesa
La Alcuesa;37.5;0.116062197;-0.670309907;-0.443971969;0.00902614;-0.228609584;1.111890635;0.856902287;1.044465535;0.600009712;-0.22993298;-0.236982206;-0.217408023;0.51042285;0.949778343;-0.326521889;-0.177716004;0.466438728;0.850025611;-0.273328244;0.75489076;0.085877128;-0.503958395;-0.532991488;-0.650146082;0.581574357;0.017532107;0.147792491;0.29752771;0.153354942;0.659090016;0.083086854;-0.221582145;-0.066556856;-0.205934039;-1.164123882;-0.484842973;0.006621776;-0.101915926;-0.081902427;-0.369595118;-0.604756283;-0.008439445;-0.39490978;-0.328287733;-0.690986346;-0.194092235;-0.533696612;0.441880771;-0.64786503;B;B;NO;NP;0;-0.271635079;-0.277179004;-0.30288412;-0.349490131;-0.303386597;-0.577032216;-0.44275343;-0.873625538;-0.725065327;-0.209283223;-0.243964807;-0.0983901;-0.174797021;La Capitana
La Capitana;32.5;0.488337169;0.944977601;0.974686324;-0.221168519;0.394136393;-0.711735897;-0.900731706;-0.654048885;-0.842030148;-0.741831915;-0.861537864;-0.277477022;-0.885032515;-0.400345249;-0.339223599;-0.333035109;-1.09352173;-0.482608152;-0.324713019;0.020985158;1.213940259;-0.036009155;1.044144999;0.401725847;1.143299894;-0.558437652;-0.235002227;-0.655778171;-0.23752973;-0.416329806;-0.400120851;-0.997778222;0.588010574;1.17755897;-0.346121595;0.001837199;-0.27941725;-0.101915926;-0.491069493;-0.581090052;-0.014598284;1.51017494;-0.221568824;-0.520025701;-0.264054549;-0.605195082;-0.351638797;0.519857534;0.96620774;B+P;B;NO;P;0;0.359956255;0.057158209;0.16697912;0.184202811;0.082846866;-0.4579762;-0.342352165;-0.156951466;-0.071961901;-0.389935822;-0.318363245;-0.40614412;-0.368853957;La Garza
La Garza;33.33333333;-0.99300699;-0.840664244;-1.010746574;-0.002828545;0.362856915;1.263859512;1.359083428;0.918763205;1.024139083;0.488619745;0.60138589;-0.179089973;0.764748794;0.922183774;-0.285413338;-0.015007004;0.499588343;0.897750085;-0.183978357;-0.025497541;-0.539218538;0.110538095;-0.390809458;-0.391267486;-0.393074081;0.081083866;-0.410740587;-0.236746816;-0.550545092;-0.281902328;0.95890082;0.739422522;-1.079577879;0.73319201;-0.606163482;-0.186798238;1.455271039;-0.101915926;-0.045029205;-0.325125561;-0.536960688;-0.729787937;-0.577972723;1.106372524;-1.00127011;0.813720458;0.998770633;-0.386395663;0.861382447;B;B;NO;NP;YES;0.050706841;0.061348587;0.019592227;0.04200861;0.067676073;-0.293380449;-0.164815845;-0.459726418;-0.457659778;2.075613579;1.659877424;2.338201059;2.387636622;La Morra
La Morra;10;0.387512698;0.152727311;-0.699192719;-0.059575561;1.025413137;-1.243626969;-1.21459492;-1.077144534;-1.190108735;-0.933687137;-0.991598886;-0.277477427;-0.885089221;-1.231254404;-0.353244876;-0.333035746;-1.093711121;-1.389460971;-0.347606839;2.306806743;0.052470587;-2.731284627;-0.595574001;-2.587574828;0.553602166;-0.410888529;-0.79167559;-0.686958974;-0.75061326;-0.78600537;-0.933662692;-1.634341143;0.329165068;-0.673206512;2.572907529;1.591917963;0.197314461;-0.101915926;-0.434712124;-0.080936413;3.273399568;0.299825157;-0.478270646;-0.353402862;0.922644762;-0.621680195;-1.230111947;-0.866950135;1.131929031;P+O;NB;O;P;0;0.312053959;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;Las Navas 
Las Navas ;36.66666667;-1.024029905;-0.302919229;0.103598169;0.088024983;-0.478845411;0.276061807;0.480266431;0.320910656;0.7638114;0.118655527;0.298304295;0.480957558;0.208539518;0.422380413;0.390944366;0.874475396;0.997386837;-0.066050364;0.950035323;-0.657323397;0.94301675;0.698923535;0.911406952;0.944399973;0.233535789;-0.391294823;0.10322162;-0.319820742;0.063694531;0.323021321;-0.744909682;2.07894256;0.451134155;1.104261327;-0.343628506;0.030071919;0.71710581;-0.101915926;-0.696595807;-1.084825132;-0.502797372;-0.939026948;-0.516951742;0.112683776;-0.274941698;0.044045047;0.767221372;-1.127174915;0.599253451;0;0;0;0;YES;-0.337674564;0.832418559;0.353284867;0.724811388;0.324628633;0.472005402;0.634104383;0.738307488;1.03415505;-0.385998548;-0.318363245;-0.403247611;-0.368853957;Llano de los Rubitos
Llano de los Rubitos;46.25;-0.201922675;-1.305546862;-0.947879536;-0.18983134;0.203615934;-0.445790362;-0.02191471;-0.253947564;0.077891832;0.003555548;-0.095557266;-0.265137375;0.235427941;-0.214988834;-0.321558499;-0.181546605;0.306081034;0.370204264;-0.235242906;0.233892308;-0.534732689;0.187240998;-0.766957448;-0.356006603;-0.237447309;-0.084355163;0.690266347;0.228982735;0.540236299;1.230406796;0.39264179;0.082325314;-0.179039458;-0.022689932;1.718009182;1.756004234;0.749400539;-0.101915926;0.13336596;0.460213871;-0.162137783;-0.671684488;0.805135036;-0.475714647;-0.328210966;-0.604682591;-0.834180386;-1.706333725;0.386840844;B+P;B;NO;P;0;-0.652471651;-0.425834383;-0.322021266;-0.460550308;-0.35611132;0.283838192;-0.11010049;0.460248552;0.293521465;-0.35626409;-0.299005874;-0.366751605;-0.353102583;Los Portales
Los Portales;1.666666667;0.147085111;0.255350406;-0.295148383;1.402631797;-0.572683846;1.187875073;0.91967493;1.062860998;0.652660255;0.14062318;-0.415389144;-0.27583948;1.129686521;0.411498855;-0.31069202;-0.32934754;0.766185345;0.420438599;-0.257332309;0.361030261;-0.280138004;-0.231647065;-0.555914617;-0.470926702;-0.073202184;-1.362120349;-0.64431707;-1.062386627;-0.635967408;-0.18108172;-0.261701977;-1.211334815;-0.3633483;1.186721175;-0.418511386;0.176535363;-0.227130546;-0.101915926;-0.128831983;-0.243729179;-0.284187556;-0.821621354;0.336721438;-0.562658725;1.701853616;-0.415146498;0.236955889;-0.941300073;-0.376134722;O;NB;O;NP;YES;-0.514955963;-0.33021133;0.397396533;-0.142239759;0.101002077;-0.304640821;0.012463956;0.189991502;-0.129610694;-0.389935822;-0.318363245;-0.40614412;-0.368853957;Machuca
Machuca;31.66666667;-0.380304432;0.119887921;0.171939584;-0.299487175;0.573282496;-1.091658092;-1.151822277;-1.037287698;-1.172558554;-0.900801428;-0.983387963;-0.277477349;-0.884986247;-0.815774438;-0.353211034;-0.333035724;-1.093222947;-0.936027348;-0.347593245;0.080103371;-1.826793815;0.245943484;-1.511285895;-0.417198279;-1.762660458;0.011909566;-0.060936653;0.110588911;0.15729995;-0.315509198;-0.576290327;0.480690496;-0.829541252;-1.64440028;-1.284603789;-1.540915768;0.160406199;-0.101915926;0.049248921;0.3260455;0.649196707;-0.749166853;-0.251975889;0.434238564;0.515154304;1.869365603;-0.233212839;-0.930419594;-0.144256439;O;NB;O;NP;0;0.494742489;-0.481614498;-0.445255228;-0.438012991;-0.404359415;-0.367469713;-0.250005574;0.234799634;0.038219667;-0.389935822;-0.318363245;-0.40614412;-0.368853957;Monte Mediterraneo
