plot;def;height;DBH;canopyA;mycrhz;pci;richness.05;richness.010;shannon.05;shannon.010;shrubcov.05;shrubcov.010;FRic05;FEve05;FDiv05;RaoQ05;FRic010;FEve010;FDiv010;RaoQ010;NMDS1.05;NMDS2.05;NMDS1;NMDS2;NMDS1.010;NMDS2.010;Ndef.m;Ntindex;Ndindex;basalA.hectare;tree.hectare;slope;comp;aridity.index;evapotrans;lat;long;pH;CO3;C;N;pbray;NO3;NH4;Ca.mol;Mg.mol;K.mol;Na.mol;humid;sand;grazer;cattle;sheep;pig;reforestation;NDBH.m;LAB.a.010;LAB.a.05;LAB.r.010;LAB.r.05;CIS.a.010;CIS.a.05;CIS.r.010;CIS.r.05;FAB.a.010;FAB.a.05;FAB.r.010;FAB.r.05;plot
Monte Mediterraneo;32;0.030749183;-0.025836873;0.396300742;-0.378194509;-0.444722343;0.12409293;0.166403218;0.017385516;0.178805372;0.051239825;0.017950536;-0.245287896;0.221001354;0.689451134;-0.332434331;-0.220916952;0.651166537;0.690337064;-0.28652201;-0.490977922;1.154666446;0.546406461;1.060678115;0.809802701;0.716032013;0.064216241;0.353276719;0.372256054;0.531481405;-0.080261112;0.89598315;0.365698485;0.260049253;0.636988854;0.064039747;-0.19217228;-0.479337;-0.101915926;0.350938923;0.895820178;0.533253848;0.751800066;-0.332027142;0.266988769;-0.362816549;0.298838272;0.804339956;1.093349428;-0.066393737;P+O;NB;O;P;0;0.639248243;-0.349789326;-0.423340109;-0.392706016;-0.431467881;0.754133121;0.660967886;0.981943236;0.92378998;0.24518271;0.16756877;0.083253161;-0.068632755;Moralejos
Moralejos;18.33333333;0.20913094;0.805410193;0.552938559;-0.077066079;-0.527186423;-0.179844826;-0.335777923;-0.470094254;-0.441301018;1.28609817;1.644173129;-0.264111993;-0.053823301;0.811186636;-0.350263609;-0.28121214;0.666911918;0.398247565;-0.331992158;-0.916284986;1.191610709;0.978588531;1.463349903;1.16699931;0.800464846;-0.402369526;0.400220166;-0.045303873;0.494598356;0.961551841;1.02181849;0.041256738;2.057060459;-0.444151379;0.149264109;0.630652426;-1.131382953;-0.101915926;-0.057599621;-0.189464923;-0.248077108;-0.199764613;0.219230194;-0.689746441;0.089000161;-0.679933289;0.01777949;0.508523702;-0.427166358;P+O;NB;O;P;0;-0.485952735;-0.491506538;-0.430285041;-0.511201183;-0.454099719;2.823450738;2.66219545;1.375998754;1.402699218;-0.357834982;-0.278684078;-0.385900744;-0.337351208;Mosquinas
Mosquinas;11.66666667;0.81407777;0.29229472;0.872306645;1.259986901;-0.322448019;-0.027875948;-0.084687352;0.044978711;-0.324299812;-0.292415826;0.116941425;-0.272181791;-0.752995356;0.865685667;-0.331650986;-0.300465609;0.15551797;0.507775963;-0.331297501;0.794762532;-1.18819032;-0.159479059;-1.564968568;-0.614563076;-1.245728753;-1.071622363;0.146340187;-0.471973177;0.365630907;0.020559497;-0.470588641;0.77638424;0.678809783;-1.149641191;0.418680747;-1.118681423;0.634062221;-0.101915926;0.669808495;0.298913372;0.025229416;-0.684170903;0.697882905;0.046447694;-0.551786361;0.04694916;-0.653890122;-1.059171924;0.183108875;B+P;B;NO;P;YES;-0.191349174;-0.376648962;-0.133041947;-0.440104083;-0.273045012;0.861953677;0.219935962;1.100748798;0.376001665;-0.37231451;-0.318363245;-0.384259389;-0.368853957;Navahonda Baja
Navahonda Baja;33.33333333;0.271176769;0.337448882;0.140550213;-0.087074543;0.877546512;-0.103860387;0.040857933;0.118560563;0.292881548;-0.096614319;-0.123605779;1.461248347;0.043594027;0.043395864;2.021786596;-0.261362536;0.272968066;0.377916468;-0.340205071;0.214265228;0.628681267;-0.322093829;0.358137871;-0.233185319;0.887655834;-1.238594813;-0.758622495;-1.018996338;-0.804325468;-0.18108172;-0.460521814;-0.843771064;0.425385125;1.17755897;-0.017410193;0.350459438;-0.946841645;-0.101915926;-0.681783666;-0.740952548;0.898606611;2.122974868;-0.208330374;-0.494246736;0.165987862;-0.521146629;-0.141300155;0.467721907;1.52663506;B+O;B;O;NP;YES;-0.170877681;-0.168366564;-0.256507407;0.136107714;0.062950744;-0.619084226;-0.523069311;-0.719485562;-0.583438963;-0.236124989;-0.161368765;-0.244744234;-0.144239354;Patrás
Patrás;45.83333333;-0.845648147;-1.18342538;-0.837023403;0.403145827;-0.572683846;0.200077369;0.354721146;0.106296921;0.515183838;0.030061429;0.160557849;0.09517093;0.181777064;0.841400536;0.190247608;-0.263782837;0.580699565;0.436813279;-0.311568813;-0.162054329;-1.296146254;0.534975686;-1.193373505;-0.056037474;-1.251690737;1.176883158;-0.626429287;0.051226323;-0.740124723;-0.113867981;-0.274285511;-0.034720126;0.617825239;-0.68694982;-0.301407145;-0.721960056;-0.273265873;-0.101915926;-0.333310762;-0.813530989;-0.402254558;-0.533002044;0.282733384;-0.721905608;-0.443692518;0.155255499;-1.164712537;-0.555496435;0.571107137;B;B;NO;NP;0;-0.573253234;-0.078033004;0.214976317;-0.159200832;0.004008483;0.667488044;0.53771084;0.776465943;0.821594393;0.248939191;0.17376864;0.189394103;0.335862549;Remolinos
Remolinos;35;-1.132610105;-0.565634351;-0.647274435;0.068105225;-0.470314644;0.12409293;0.229175861;0.170681041;0.34553209;0.61562435;0.577672744;-0.254825742;0.576580412;-0.076507559;-0.318343175;-0.259258646;0.236525613;0.723734275;-0.27931555;-0.629250667;-0.853230846;0.684954267;-1.013737456;0.419740221;-1.225893346;1.266673445;0.52721288;1.386541972;0.466641234;0.188593844;2.217254219;0.182943324;0.012045444;-1.451993968;0.663546278;-1.306507833;-1.199048099;-0.101915926;-0.631648653;-0.677843219;-0.502266336;-0.612515532;-0.34195598;-0.74805337;-0.561118203;-0.542158743;0.378360018;-0.590857991;0.288854842;P+O;NB;O;P;0;0.22929749;1.76600812;1.235495506;1.412602717;1.413151305;-0.003874285;0.038167091;-0.191773786;-0.078450509;0.947781305;0.920095185;0.712439157;1.045619494;Taqueros 
Risco Alto;81.66666667;-0.349281518;-0.573844198;-0.737336765;-0.301916413;-0.481689;1.035906196;1.296310786;1.332661123;1.664720684;0.562612588;0.244112203;-0.1335145;1.471807403;0.326981852;-0.278070686;-0.280037198;0.800065513;0.905798476;-0.2167429;NA;NA;NA;NA;NA;NA;1.45562492;-0.678165816;-0.170476377;-0.844414977;-0.248295459;-0.873261729;-0.743153054;-0.057070372;-0.050176548;-0.46315387;-0.652233825;-1.23595636;-0.101915926;-1.356542686;-1.708864066;-0.521383632;-0.917117453;-0.23087711;-1.046373897;-1.122584064;-0.874850533;0.417246153;-0.240415909;1.261086419;B;B;NO;NP;0;-1.081817064;0.581367635;0.593706614;0.670032999;0.511359587;0.211144019;0.520011077;0.300091484;0.540213379;0.128595191;0.334551929;0.322070281;0.439506594;Valdecheras
Taqueros ;40.83333333;-0.101098203;-0.401437399;0.003293456;-0.041016177;0.340108203;-1.16764253;-1.277367562;-1.077144534;-1.190108735;-0.909022855;-0.997773501;-0.277477427;-0.885089221;-1.231254404;-0.353244876;-0.333035746;-1.093711121;-1.389460971;-0.347606839;-3.475575094;-1.742695304;2.5342023;-0.114195926;2.568502978;-2.07190682;0.697774457;-0.864611922;-0.346014414;-0.831828189;-0.18108172;-0.51463101;0.54229336;0.25191798;0.307149461;0.562431993;1.220093198;-0.842268238;-0.101915926;0.820234482;1.357066346;0.079218075;0.584315626;0.931624289;-0.504278036;0.538483911;-0.592809893;-0.620306641;0.186642877;-0.137943247;0;0;0;0;0;-0.309894435;-0.331585224;-0.28853126;0.229509787;0.155219008;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.381398365;-0.309752314;-0.187296817;-0.21134021;Vista Alegre
Valdecheras;39.16666667;0.503848626;0.468806443;0.216882453;0.104640975;-0.325291608;-0.483782581;-0.586868493;-0.773619394;-0.736729063;0.640288631;0.793193055;1.045331035;-0.884713614;NA;0.128489107;3.513860948;-1.093075195;NA;1.611558902;-0.725786741;1.533266441;0.689976613;1.624065982;1.18243342;1.000544423;0.180756195;1.67073685;1.741549344;1.512118971;0.222200713;0.933733752;-0.513169031;2.866122065;-2.001726289;0.415411729;-0.906373896;-0.168692466;-0.101915926;0.137241838;-0.379389816;0.125949242;-0.438771236;0.409532914;-0.354398616;-0.407920455;-0.173592612;1.20380662;1.415683606;-0.653783648;P+O;NB;O;P;YES;0.903139893;-0.496864726;-0.452508824;-0.513989305;-0.466534796;0.81404727;0.886011396;1.441162581;1.452362031;-0.389935822;-0.318363245;-0.40614412;-0.368853957;Yeguerizo
Vista Alegre;6.666666667;0.876123598;-0.220820753;-0.560479072;0.141759743;-0.390694154;0.12409293;0.166403218;-0.0163395;0.430357964;-0.601146855;-0.649893109;-0.24556669;0.714848612;0.656656481;-0.337095766;-0.321124491;0.349950235;1.01672397;-0.284484265;0.008099684;1.121411709;-0.114269485;0.744965418;0.250043923;0.987130085;-0.849787538;0.418568085;0.577413608;0.543665879;1.364834274;0.996651422;-0.164086139;1.090794252;0.123905354;0.295379125;0.756906878;0.068135545;-0.101915926;-0.510134625;-0.460786199;0.71770035;0.499874166;-0.532465551;-0.011674836;1.00974196;-0.363214121;0.816712817;1.609265455;-0.936693567;P+O;NB;O;P;0;-0.947252737;-0.221124111;0.197691153;-0.251441188;-0.085026661;-0.18531077;-0.092965067;0.686465609;0.85316397;-0.337891482;-0.202632342;-0.300003178;-0.240322739;
Yeguerizo;20;0.10055074;0.403127662;1.170307003;1.032998837;2.43583325;-0.787720336;-0.963504349;-1.077144534;-1.190108735;-0.81450933;-0.94955896;-0.277477427;-0.885089221;-1.231254404;-0.353244876;-0.333035746;-1.093711121;-1.389460971;-0.347606839;1.014882084;1.057967645;-1.080690926;1.006864074;-0.38383543;1.702096208;0.029373521;0.371509604;0.035298953;0.771480489;-0.382722937;-1.09221522;-1.704157721;-1.171054694;-0.929748262;2.088867839;2.249305155;-1.137534329;-0.101915926;-0.48918393;-0.35687015;-0.036016735;1.417409204;-0.163443754;-0.693360659;-0.516014298;-0.80856842;-1.056891889;-0.330179857;1.508353108;0;0;0;0;YES;1.043695705;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.745339905;-0.70732641;-0.538204661;-1.034771614;-0.389935822;-0.318363245;-0.40614412;-0.368853957;
