plot;tree.n;h.status.x;def;height;DBH;canopyA;mycrhz;pci;richness.05;richness.010;shannon.05;shannon.010;shrubcov.05;shrubcov.010;FRic05;FEve05;FDiv05;RaoQ05;FRic010;FEve010;FDiv010;RaoQ010;Ndef.m;Ntindex;Ndindex;basalA.hectare;stands.hectare;slope;comp;aridity.index;lat;long;pH;CO3;C;N;pbray;NO3;NH4;Ca.mass;Ca.mol;Mg.mass;Mg.mol;K.mass;K.mol;Na.mass;Na.mol;humid;sand;LAB.a.010;LAB.a.05;LAB.r.010;LAB.r.05;CIS.a.010;CIS.a.05;CIS.r.010;CIS.r.05;FAB.a.010;FAB.a.05;FAB.r.010;FAB.r.05;NMDS1;NMDS2
Jarrama;20;H;30;-0.504;-0.028;1.252;NA;NA;0.58;0.166;0.946;-0.33;-0.342;-0.043;-0.226;0.603;1.098;-0.276;-0.315;0.02;1.073;-0.271;-0.368;-0.342;-0.546;-0.086;-0.988;0.695;-0.484;0.911;-0.521;-0.415;0.302;-0.102;-0.417;-0.585;-0.46;-0.653;-0.812;0.685;0.686;-1.279;-1.281;0.872;0.872;1.943;1.944;-0.212;0.793;-0.496864726;-0.452508824;-0.513989305;-0.466534796;0.449554998;0.022262956;1.410052935;1.326582847;-0.34622404;-0.215032082;-0.335018746;-0.053826463;-0.129532426;-0.737363338
Jarrama;21;H;30;-1.202;-0.348;-0.795;0.899;NA;0.58;0.543;-0.065;-0.277;0.941;0.536;-0.163;0.079;0.066;-0.324;-0.247;0.323;0.301;-0.278;2.017;0.447;2.437;0.005;-0.786;0.468;-0.706;0.911;-0.517;-0.417;-0.307;-0.102;0.735;0.448;-0.224;-0.343;-0.503;0.067;0.067;-1.141;-1.141;-0.265;-0.265;0.463;0.46;0.538;0.715;-0.496864726;-0.452508824;-0.513989305;-0.466534796;1.178987964;1.727596654;1.417734329;1.453859403;-0.338028081;-0.318363245;-0.356903477;-0.368853957;0.148790327;-0.400965547
Jarrama;22;H;35;1.543;1.536;0.19;NA;NA;0.58;0.543;0.266;0.109;-0.391;-0.499;-0.046;0.316;0.853;-0.286;-0.211;0.435;1.042;-0.227;0.398;-0.485;-0.268;-0.337;-0.988;0.294;-0.657;0.911;-0.518;-0.417;0.228;-0.102;0.331;0.448;-0.229;-0.234;-0.845;0.765;0.765;-1.084;-1.085;0.258;0.258;0.846;0.841;0.571;0.714;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.120937314;-0.047510024;1.399811076;1.29913104;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.035887653;-0.284045848
Jarrama;23;H;25;1.497;1.499;1.941;0.29;-0.044;0.124;0.543;-0.415;0.495;-0.391;0.166;-0.262;-0.319;1.071;-0.332;-0.282;0.543;1.266;-0.229;0.143;-0.029;-0.034;-0.172;-0.786;0.846;0.206;0.911;-0.52;-0.417;0.376;-0.102;0.414;0.005;0.043;0.558;-0.325;1.421;1.421;-0.902;-0.903;0.585;0.585;1.575;1.573;1.061;1.108;-0.496864726;-0.452508824;-0.513989305;-0.466534796;0.6304185;-0.003901912;1.274348305;1.453859403;-0.154984994;-0.318363245;-0.099757896;-0.368853957;0.25723276;-0.199245235
Jarrama;24;H;40;-0.086;-1.062;0.494;NA;NA;0.58;0.543;1.204;0.881;-0.342;-0.191;-0.226;1.201;0.786;-0.291;-0.247;1.33;0.628;-0.179;-0.198;0.459;-0.037;0.491;-0.786;0.249;0.353;0.911;-0.518;-0.418;-0.03;-0.102;0.592;0.153;-0.327;0.235;-0.516;0.138;0.138;-0.882;-0.88;-0.178;-0.179;0.866;0.863;0.443;1.053;-0.496864726;-0.452508824;-0.513989305;-0.466534796;0.224845799;-0.007493168;1.310194811;1.231749334;-0.242408558;-0.136500398;-0.132584991;0.185594434;0.297812373;-0.100263653
Jarrama;25;H;35;0.24;1.487;2.784;0.473;0.485;0.124;0.166;0.266;-0.102;-0.411;-0.009;-0.262;0.915;0.397;-0.298;-0.298;0.045;1.319;-0.258;1.037;-0.442;0.117;-0.312;-0.988;0.294;0.132;0.911;-0.519;-0.417;0.283;-0.102;1.828;0.89;-0.189;0.416;1.152;0.624;0.624;-1.242;-1.244;0.335;0.335;0.278;0.279;0.895;0.798;-0.496864726;-0.452508824;-0.513989305;-0.466534796;0.496888422;-0.029040706;1.417734329;1.453859403;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.149629987;-0.304976033
Jarrama;26;H;10;0.38;1.622;1.279;NA;NA;0.124;0.543;0.799;1.179;-0.177;0.293;-0.262;1.491;0.155;-0.301;-0.282;1.036;1.13;-0.198;1.101;1.699;2.616;1.569;-0.584;0.166;-0.595;0.911;-0.521;-0.418;0.117;-0.102;1.246;-0.29;-0.35;-0.193;-0.649;0.732;0.732;3.099;3.1;0.209;0.209;3.088;3.09;0.699;0.779;-0.496864726;-0.452508824;-0.513989305;-0.466534796;0.622446555;0.273650896;1.033664623;1.451363784;-0.130397117;-0.318363245;-0.099757896;-0.368853957;0.402389636;-0.077775228
Jarrama;27;H;5;0.194;1.13;0.75;0.166;NA;0.58;0.166;1.351;-0.084;-0.687;-0.795;-0.131;1.722;0.693;-0.252;-0.274;0.73;1.216;-0.207;-1.391;-1.467;-1.073;-1.55;-1.391;-0.966;-0.46;0.911;-0.522;-0.418;0.468;-0.102;0.485;0.3;0.209;-0.263;-0.859;0.583;0.583;0.887;0.888;0.155;0.155;0.77;0.767;0.315;0.788;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.497113468;-0.442035178;1.335799458;1.034595453;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.464158732;-0.262107212
Jarrama;28;H;10;1.078;1.499;0.553;NA;NA;1.036;0.543;0.597;-0.102;0.645;1.275;-0.083;0.346;-0.042;-0.301;-0.248;-0.611;0.413;-0.25;-0.198;6.378;3.494;0.137;-0.786;-0.74;-0.632;0.911;-0.522;-0.417;-0.123;-0.102;0.26;-0.142;-0.221;0.36;-0.33;0.327;0.327;1.988;1.99;0.117;0.117;0.97;0.969;0.764;1.038;-0.496864726;-0.452508824;-0.513989305;-0.466534796;2.112702019;1.291515534;1.425415723;1.391468934;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.449687273;-0.210484109
Jarrama;29;H;15;-0.458;2.373;0.697;0.554;0.007;1.036;0.543;0.928;-0.084;-0.342;-0.523;0.018;1.095;1.046;-0.244;-0.211;0.324;1.068;-0.21;-0.752;-0.182;-0.741;0.355;-0.988;-0.981;0.107;0.911;-0.525;-0.418;0.173;-0.102;-0.109;-0.29;0.035;-0.706;-0.819;0.897;0.897;-1.377;-1.379;1.884;1.884;-0.013;-0.018;1.295;-0.024;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.174249696;-0.036223218;1.312755276;1.144402678;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.335029075;-0.298688781
El Cobujon;30;H;20;-1.016;-0.681;-0.469;NA;NA;-0.788;-0.964;-1.077;-1.19;-0.884;-1.029;-0.277;-0.885;-1.231;-0.353;-0.333;-1.094;-1.389;-0.348;1.591;-0.006;0.804;-0.211;-0.181;-0.249;0.304;-1.021;-1.673;-1.026;0.357;-0.102;0.034;0.89;1.312;-0.91;0.311;0.031;0.031;3.606;3.604;-0.045;-0.045;1.896;1.891;-0.868;0.319;-0.454273998;-0.259594043;4.13288002;4.507495637;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;1.063578465;-2.476703858
El Cobujon;31;D;65;-1.575;-0.348;-0.564;-1.155;-0.573;-0.332;-0.587;-0.562;-0.576;-0.243;0.166;-0.277;-0.884;1.262;0.288;-0.333;-1.093;1.331;1.903;2.301;0.257;1.854;0.328;0.424;-0.513;1.043;-1.122;-1.674;-1.026;-0.842;-0.102;-0.299;0.595;-0.374;-0.862;-0.053;-0.62;-0.62;-0.888;-0.889;-0.125;-0.125;1.533;1.531;-0.12;-0.521;3.237380377;2.046123414;3.612430656;4.134443354;-0.623668094;-0.642119457;-0.830353684;-0.857083559;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.719815887;-1.492995784
El Cobujon;32;H;30;-1.202;-0.25;1.29;NA;NA;-0.788;-0.587;-1.077;-0.365;-0.914;-0.112;-0.277;-0.885;-1.231;-0.353;-0.333;-1.093;1.331;2.984;2.845;-0.174;1.441;-0.11;0.021;0.544;0.501;-1.021;-1.673;-1.025;-0.289;-0.102;0.913;1.185;0.137;-0.821;0.258;-0.082;-0.082;0.265;0.263;0.056;0.056;1.051;1.054;-0.395;0.465;2.154751554;-0.452508824;3.291796672;-0.466534796;-0.583310123;-0.683675423;-0.656242084;1.451363784;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.649595168;-1.445041192
El Cobujon;33;D;40;1.078;1.351;3.22;-0.969;NA;-0.332;-0.587;-0.01;-0.383;-0.717;-0.247;-0.277;-0.885;1.262;1.456;-0.333;-1.093;1.331;2.779;2.954;-0.315;1.073;-0.076;-0.181;0.242;1.019;-1.122;-1.675;-1.025;-0.602;-0.102;-0.465;-0.142;-0.629;-0.864;0.5;-0.682;-0.682;0.679;0.678;-0.338;-0.338;1.921;1.923;1.194;-0.828;1.807156259;-0.225641042;3.356852843;0.86153133;-0.62865056;-0.502573499;-0.69208859;0.785033578;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.663213842;-1.448659065
El Cobujon;34;D;50;-1.202;-1.703;-0.816;NA;NA;1.036;0.543;0.174;-0.049;0.152;0.449;0.24;-0.517;-0.039;0.325;0.67;-0.542;0.028;1.335;2.251;-0.708;0.315;-0.7;-0.584;-0.226;1.709;-1.122;-1.674;-1.024;-0.012;-0.102;0.747;1.038;-0.086;-0.894;0.681;-0.197;-0.197;-0.227;-0.227;-0.22;-0.22;1.253;1.255;-0.808;0.326;4.309018044;3.314731011;3.784364821;3.950404228;-0.68943664;-0.656484482;-0.976300172;-0.949421453;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.739052719;-1.361750008
El Cobujon;35;H;30;-0.784;-1.21;-0.713;-0.322;0.656;-0.332;0.543;-0.378;0.144;0.546;0.955;-0.277;-0.885;1.262;0.658;2.521;-0.188;-0.097;2.649;0.952;0.52;0.811;0.24;1.029;-0.211;1.339;-1.122;-1.674;-1.024;0.062;-0.102;-0.215;-0.142;-0.499;-0.914;-0.192;-0.18;-0.18;-0.223;-0.222;-0.231;-0.231;1.647;1.647;-0.544;0.356;5.239144583;4.611118336;3.319677888;3.885741833;-0.48665029;-0.468713082;-0.807309502;-0.732302622;-0.153619001;-0.318363245;-0.220123912;-0.368853957;0.756930868;-1.320986643
El Cobujon;36;D;70;-1.016;0.206;-0.532;NA;NA;-0.332;-0.21;-0.525;-0.365;-0.144;-0.031;-0.277;-0.885;1.262;0.388;-0.313;1.112;1.155;1.516;1.506;0.264;1.418;-0.032;-0.181;0.038;0.871;-1.122;-1.677;-1.024;0.154;-0.102;0.83;0.743;-0.304;-0.924;-0.118;0.164;0.164;2.887;2.885;0.108;0.108;2.538;2.538;-0.604;-0.222;2.583406621;2.364046972;3.552021355;4.074754989;-0.707871763;-0.619545846;-0.943014131;-0.824640515;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.761870479;-1.43777134
El Cobujon;37;H;40;0.287;-0.656;0.376;1.434;NA;0.124;-0.21;0.67;0.267;-0.144;0.117;-0.264;0.699;0.254;0.614;-0.308;0.171;0.517;1.689;1.514;0.594;1.606;0.632;0.827;-0.091;1.487;-1.122;-1.678;-1.025;-0.51;-0.102;-0.109;0.005;-0.564;-0.82;0.906;-0.732;-0.732;-0.015;-0.017;0.158;0.158;2.786;2.782;1.602;-1.061;2.07643957;1.052226465;2.450713325;1.960792055;-0.26493057;-0.183464726;-0.190237507;0.235997453;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.130598575;-1.267193652
El Cobujon;38;D;70;0.612;-0.373;0.129;0.862;-0.573;0.124;-0.21;0.45;0.565;-0.766;-0.112;-0.264;0.957;0.851;0.958;-0.308;0.612;0.691;3.433;1.026;0.796;1.432;0.82;0.827;-0.325;1.117;-1.122;-1.678;-1.025;-0.787;-0.102;-0.453;-0.142;-0.685;-0.85;0.092;-0.526;-0.526;-0.567;-0.567;-0.304;-0.304;1.82;1.817;0.764;-0.852;1.274085214;-0.370712957;2.027848216;0.155219008;-0.263435831;-0.518477634;0.040204316;1.13941144;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.169355884;-1.164273872
El Cobujon;39;D;75;-0.877;-0.373;0.074;NA;NA;0.124;-0.21;0.523;-0.014;0.448;0.782;-0.264;0.311;0.739;0.842;-0.308;-0.233;0.906;1.674;0.794;-0.066;0.158;-0.131;0.827;0.242;1.24;-1.122;-1.68;-1.025;-0.492;-0.102;0.01;0.153;-0.457;-0.814;-0.093;-0.599;-0.599;-0.54;-0.539;-0.409;-0.409;1.232;1.234;0.19;-0.281;4.427172966;3.126446185;3.087334422;2.831247381;-0.276888488;-0.103431014;-0.543581637;-0.200735828;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.22965582;-1.376656429
El Cobujon;40;H;30;-0.597;-1.789;-0.8;NA;NA;1.036;0.92;0.634;0.758;0.448;1.115;0.24;-0.077;0.45;0.996;6.874;0.114;0.697;5.163;1.191;0.621;0.541;0.78;0.625;0.77;1.24;-1.122;-1.68;-1.025;-0.086;-0.102;-0.168;0.3;-0.597;-0.657;-0.221;0.086;0.086;-0.295;-0.297;0.962;0.962;3.287;3.291;0.22;-0.403;6.217357429;4.476849649;3.635665003;4.074754989;-0.514552097;-0.574398624;-0.855958331;-0.85458794;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.733923701;-1.230922443
El Cobujon;41;H;10;-1.156;-1.284;0.218;0.398;NA;0.58;0.543;0.91;0.951;0.053;0.166;-0.254;1.083;0.631;0.987;0.67;0.649;0.1;3.899;1.037;-0.563;-0.06;-0.612;0.222;0.468;1.585;-1.122;-1.682;-1.024;0.007;-0.102;0.117;0.448;-0.568;-0.643;-0.506;-0.19;-0.19;-0.742;-0.74;0.358;0.358;1.488;1.488;0.378;-0.305;2.395183082;1.766782812;2.678409922;2.393532703;-0.466720428;-0.228098911;-0.566625819;-0.105902316;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.447913819;-1.19982453
El Cobujon;42;D;70;0.519;-0.471;0.063;NA;NA;-0.788;-0.964;-1.077;-1.19;-0.835;-1.016;-0.277;-0.885;-1.231;-0.353;-0.333;-1.094;-1.389;-0.348;2.315;0.006;1.306;0.25;-0.181;-0.476;0.674;-1.122;-1.679;-1.027;-0.602;-0.102;0.058;0.448;-0.458;-0.005;-0.843;-0.31;-0.31;-0.169;-0.171;-0.18;-0.18;1.201;1.202;3.424;-1.563;-0.410309376;-0.066679263;4.13288002;4.507495637;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;1.001500767;-2.367772792
El Cobujon;43;D;70;-1.621;-1.419;-0.992;-1.419;0.007;1.036;1.296;1.112;1.6;0.546;1.139;2.856;-0.348;0.971;1.39;8.725;0.281;0.601;4.421;1.537;0.039;1.026;-0.006;0.827;-0.566;0.969;-1.122;-1.679;-1.027;0.413;-0.102;1.887;1.48;0.334;-0.931;1.905;0.554;0.554;-0.049;-0.049;0.551;0.551;2.035;2.04;-0.661;0.371;2.447391071;1.573868031;1.288995993;1.274375856;-0.399457142;-0.324549794;-0.750979278;-0.542635597;2.302436748;2.007276793;1.541596876;2.466393496;0.486878772;-1.056686948
El Cobujon;44;H;0;-1.435;-1.456;-1.007;NA;NA;0.124;0.166;-0.065;0.056;-0.243;-0.056;-0.264;-0.297;0.918;0.149;-0.287;0.028;1.129;2.587;0.182;0.585;0.526;0.825;1.23;0.211;2.054;-1.122;-1.676;-1.029;-0.123;-0.102;1.068;1.333;-0.257;-0.72;-0.54;-0.581;-0.581;0.251;0.249;-0.168;-0.168;0.997;1.001;0.315;-0.488;2.219324593;1.809995723;3.161684331;3.701702707;-0.581317137;-0.563111819;-0.679286266;-0.637469109;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.492153527;-1.340493535
El Cobujon;45;H;40;-0.039;-0.237;0.292;0.998;-0.18;0.58;0.543;1.369;0.863;-0.687;-0.314;-0.254;1.176;0.108;1.548;4.393;0.562;1.059;5.676;1.676;-0.502;0.526;-0.326;-0.383;-0.627;1.832;-1.122;-1.676;-1.028;-0.529;-0.102;0.509;1.185;-0.418;-0.122;-0.637;-0.259;-0.258;-0.601;-0.6;0.146;0.146;1.172;1.17;1.67;-0.533;1.587333148;-0.13921522;3.31038415;1.150025095;-0.686945408;-0.596972235;-0.817551361;-0.170788403;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.427865936;-1.248521743
El Cobujon;46;H;5;0.333;-0.508;0.121;NA;NA;0.58;0.166;1.167;0.898;-0.144;0.486;-0.254;1.43;0.712;2.059;-0.287;0.639;0.226;3.332;0.824;0.059;0.594;-0.118;0.424;0.053;2.054;-1.122;-1.687;-1.025;-0.713;-0.102;-0.524;0.3;-0.238;-0.28;2.522;-0.703;-0.703;-0.327;-0.325;-0.017;-0.018;0.95;0.948;1.227;-0.677;0.595381358;0.808382182;0.438618907;1.562869621;0.648355376;-0.294793671;0.795541405;-0.033529372;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.070636991;-1.037663672
El Cobujon;47;H;20;-0.97;-1.407;-0.802;1.155;-0.573;0.58;0.543;0.965;0.986;0.201;0.61;-0.254;1.634;0.947;1.948;1.061;0.849;0.792;4.044;0.025;1.025;0.598;0.907;1.23;-1.004;1.364;-1.122;-1.685;-1.024;-0.473;-0.102;0.117;0.153;-0.297;-0.936;0.691;-0.576;-0.576;-0.389;-0.39;0.052;0.052;1.285;1.287;0.634;-0.999;2.667214182;1.322307157;2.041788824;1.523077377;-0.104495178;0.083827349;-0.269611913;0.298387922;-0.175474892;-0.318363245;-0.198239182;-0.368853957;0.273095134;-1.134520029
El Cobujon;48;D;85;1.031;-2.392;-0.375;NA;NA;0.124;0.166;0.358;0.933;0.201;0.646;-0.264;0.222;0.519;0.35;-0.287;1.197;0.197;2.817;2.187;-0.202;1.065;-0.283;-0.181;0.619;1.117;-1.122;-1.684;-1.024;-0.658;-0.102;-0.132;0.153;-0.531;-0.436;-0.614;-0.761;-0.761;-1.055;-1.057;0.185;0.184;1.05;1.054;1.531;-0.956;2.07643957;2.487512432;1.52133946;2.831247381;0.12469824;-0.211168703;-0.013565442;-0.200735828;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.048672413;-1.198460543
El Cobujon;49;D;30;-1.249;-2.011;-1.61;-1.063;NA;-0.332;-0.21;0.192;0.091;0.349;0.573;-0.277;-0.885;1.262;1.952;4.368;0.413;1.105;5.108;-0.252;-0.379;-0.465;-0.356;0.827;-0.06;1.832;-1.122;-1.687;-1.024;0.542;-0.102;0.379;0.448;-0.299;-0.906;-0.427;-0.06;-0.06;-0.585;-0.586;0.28;0.28;0.445;0.449;0.003;-0.104;1.50764727;2.180392101;1.144943044;2.144831181;0.517316531;0.082801276;0.529253076;0.141163941;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.567094756;-1.326568141
La Garza;50;H;5;1.357;1.511;2.839;-0.684;NA;-0.788;-0.587;-1.077;0.003;-0.884;-0.955;-0.277;-0.885;-1.231;-0.353;-0.333;-1.094;1.331;-0.275;-0.181;1.033;0.516;-0.009;-0.786;-0.891;0.846;-1.082;-0.609;-0.186;0.892;-0.102;-1.712;-1.765;0.2;-0.205;-0.166;0.314;0.314;1.163;1.164;-0.052;-0.052;1.154;1.149;-0.604;1.012;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.748727981;-0.709327253;-0.021246837;-1.044254965;-0.219186674;-0.14614464;2.71790113;5.931695939;0.335488422;1.867056873
La Garza;51;D;45;-0.318;-0.964;-0.783;0.623;-0.368;1.492;1.673;1.443;1.846;1.237;1.275;-0.236;1.349;0.861;-0.273;-0.176;1.239;0.862;-0.128;-0.113;-0.322;-0.517;-0.482;-0.383;0.695;2.473;-1.078;-0.612;-0.186;1.797;-0.102;-1.19;-1.323;-0.653;-0.706;-0.833;2.339;2.339;-1.264;-1.263;1.644;1.644;1.165;1.17;0.003;0.06;0.68880618;0.396316211;0.169100486;0.030868248;0.256235333;0.278268225;-0.200479366;-0.168292784;2.59475929;3.849326989;1.629135798;3.096448486;0.291691086;-0.463455483
La Garza;52;H;20;2.381;-0.804;-0.732;NA;NA;0.58;2.05;0.836;1.899;-0.736;0.043;-0.14;1.067;1.022;-0.304;0.222;0.738;0.757;-0.127;0.836;1.287;0.943;1.01;0.021;2.356;0.994;-1.078;-0.613;-0.186;0.948;-0.102;-0.382;-0.438;0.354;-0.818;-0.287;1.912;1.912;-1.014;-1.015;1.974;1.974;1.609;1.605;0.033;-0.3;-0.06546187;-0.355279774;0.020400667;0.155219008;-0.47220114;-0.709327253;-0.51797699;-1.044254965;1.850293003;0.129405127;2.854680694;3.726503475;0.156371893;-0.056179798
La Garza;53;H;10;-1.202;-0.323;-1.389;0.504;-0.521;1.492;1.296;0.891;0.986;0.891;0.634;-0.15;0.729;1.147;-0.239;0.147;0.681;1.084;-0.086;-0.208;-0.213;-0.374;-0.533;0.222;0.619;0.587;-1.082;-0.61;-0.187;1.428;-0.102;-0.893;-1.028;-0.602;-0.741;-0.757;1.843;1.843;-1.287;-1.286;1.189;1.189;1.755;1.754;-0.302;0.718;-0.131408803;-0.273483907;-0.221236537;-0.342184035;0.177512376;0.358814973;0.055567105;0.078773472;2.258724966;2.948279249;2.094186316;2.863328139;-0.23316337;-0.34705636
La Garza;54;D;70;1.078;-0.508;-0.989;NA;NA;0.124;-0.21;0.946;0.46;0.25;0.585;-0.225;1.838;0.759;-0.313;-0.234;1.399;1.143;-0.244;-0.879;0.2;-0.527;0.07;-0.181;0.242;0.649;-1.082;-0.61;-0.187;0.948;-0.102;-0.453;-0.585;-0.408;-0.524;-0.86;0.387;0.387;5.682;5.68;0.047;0.047;1.899;1.902;-0.272;0.562;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.567366233;-0.196290641;-0.835474614;-0.213213922;2.678084874;1.059385593;2.5701792;1.729229158;0.007800061;0.82869986
La Garza;55;D;50;-0.97;-1.136;-1.042;NA;NA;1.036;0.92;1.498;1.372;1.927;1.152;-0.23;1.13;0.694;-0.284;-0.053;0.779;0.491;-0.181;0.245;0.175;0.214;0.286;0.625;1.752;1.61;-1.082;-0.609;-0.188;0.911;-0.102;-1.308;-1.323;-0.675;-0.665;-0.774;0.849;0.849;-1.237;-1.239;1.711;1.711;1.968;1.966;0.764;0.929;-0.09019197;-0.173168221;-0.267705231;-0.342184035;0.425639163;1.104257171;0.00947874;0.173606984;3.45670099;4.551978896;2.362274262;2.705814392;0.451411661;-0.743293378
La Garza;56;D;60;-0.504;-0.422;-0.765;0.147;NA;1.948;1.673;1.958;1.986;1.138;1.028;-0.03;1.417;0.514;-0.273;0.147;1.092;0.133;-0.206;0.342;0.304;0.613;0.012;0.424;2.129;1.487;-1.082;-0.61;-0.188;1.04;-0.102;-0.631;-0.733;-0.36;-0.564;-0.619;1.809;1.809;-1.292;-1.291;1.406;1.406;1.158;1.16;0.158;0.703;0.315106891;0.155558565;0.011106929;-0.093482513;0.218368594;0.63790689;-0.12622589;0.203554409;3.083784851;2.574909314;2.241908246;2.157666551;0.257683645;-0.254708986
La Garza;57;H;0;-0.97;-1.481;-0.564;1.683;2.123;0.124;1.296;0.413;1.671;-0.736;-0.511;-0.257;1.111;0.717;-0.338;-0.238;0.91;0.579;-0.321;-0.405;-0.67;-0.513;-0.8;0.021;-0.891;-0.595;-1.082;-0.607;-0.19;1.557;-0.102;-0.619;-0.438;-0.554;-0.478;-0.642;0.04;0.04;-1.121;-1.123;-0.221;-0.221;0.992;0.99;-0.631;2.347;-0.161634481;-0.452508824;0.331740912;-0.466534796;-0.667513792;-0.709327253;-0.630637437;-1.044254965;-0.150887015;-0.318363245;0.305109615;-0.368853957;-0.955554624;-0.109252245
La Garza;58;H;0;0.799;0.563;0.483;NA;NA;0.124;0.543;0.836;1.267;-0.835;-0.757;-0.251;1.316;0.836;-0.331;-0.264;0.617;0.482;-0.313;-1.237;0.047;-1.051;0.302;-0.383;-0.891;-0.041;-1.082;-0.604;-0.19;2.258;-0.102;0.165;-0.142;0.051;-0.116;-0.818;0.219;0.219;0.124;0.123;-0.045;-0.045;-0.051;-0.049;-0.982;2.558;-0.384205381;-0.355279774;0.011106929;0.776972813;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.033411601;-0.14614464;1.585366337;2.781420991;-1.698924455;-0.739014617
La Garza;59;D;70;-0.97;-0.927;-1.175;-1.027;-0.3;0.58;0.543;0.358;-0.277;-0.588;0.08;-0.205;-0.591;0.905;-0.335;0.004;-0.892;0.906;-0.306;-0.241;-1.188;-0.895;-1.173;-0.988;0.242;1.191;-1.082;-0.602;-0.19;1.446;-0.102;0.188;-0.733;-0.46;-0.738;-0.756;0.167;0.167;-0.91;-0.908;-0.287;-0.288;0.907;0.905;-0.721;1.484;0.099405463;0.172535065;0.196981702;1.836441295;-0.795563158;-0.709327253;-1.119686196;-1.044254965;2.885715839;0.30437923;4.206062789;2.888530339;0.028916449;-1.972662583
La Garza;60;H;30;-0.691;0.329;-0.366;NA;NA;1.492;1.296;0.965;1.127;0.595;0.523;-0.201;0.501;0.934;-0.259;-0.176;0.866;0.881;-0.138;0.948;-0.627;-0.03;-0.75;-0.584;1.978;1.856;-1.078;-0.604;-0.186;0.892;-0.102;-0.31;-0.733;-0.623;-0.975;-0.372;1.096;1.096;-1.295;-1.295;1.936;1.937;0.367;0.364;0.253;0.116;0.05818863;-0.258050725;-0.040008634;-0.302391791;0.403218068;0.608150767;0.434515881;0.610340265;1.168662403;1.21644896;1.169556461;1.445704413;0.271493207;-0.639658719
La Garza;61;D;65;-0.97;-0.557;-0.678;NA;NA;0.58;0.543;1.333;1.372;2.174;2.063;-0.261;1.64;0.137;-0.295;-0.255;1.005;0.536;-0.169;-0.049;-0.762;-0.525;-0.698;-0.584;2.129;1.043;-1.078;-0.605;-0.186;0.025;-0.102;-0.251;-0.88;-0.646;-1.005;-0.3;1.354;1.354;-1.171;-1.169;3.199;3.199;1.053;1.054;0.601;-1.029;0.855047408;1.978217411;0.066869361;0.528271291;1.448041107;1.411566101;0.347460081;0.265944878;2.870689914;2.665840737;1.2516242;1.363797264;0.220425953;-0.711152564
La Garza;62;H;10;-0.97;-0.557;-0.818;-0.572;1.816;1.948;1.296;1.112;0.442;0.595;1.152;-0.091;1.021;0.978;-0.265;0.026;0.363;1.235;-0.119;0.441;-0.097;0.286;0.186;-0.181;2.582;0.033;-1.078;-0.603;-0.185;1.428;-0.102;2.172;1.48;-0.452;-0.788;-0.494;1.278;1.278;-0.574;-0.572;1.17;1.17;0.43;0.428;-0.302;0.409;-0.352605809;-0.003403215;-0.425698788;-0.093482513;-0.483660811;-0.411252982;-0.830353684;-0.669912153;5.119114698;3.351959658;3.560463246;3.965924371;-0.967936153;-0.493522674
La Garza;63;H;40;-0.504;-0.656;-0.803;NA;NA;1.948;1.673;1.94;1.337;0.25;0.88;-0.201;1.468;0.752;-0.262;-0.176;0.896;0.728;-0.165;0.545;0.959;1.76;0.579;0.021;2.582;0.932;-1.078;-0.603;-0.185;1.28;-0.102;2.042;1.48;-0.265;-0.851;0.35;0.938;0.938;1.045;1.042;0.351;0.351;-0.045;-0.049;-0.514;0.158;0.779483214;0.820728728;0.373562736;0.901323573;-0.325218404;-0.55541627;-0.620395578;-0.79469309;3.14798653;1.33493536;2.499053827;2.151366001;0.651333325;-0.295892209
