plot;tree.n;h.status.x;def;height;DBH;canopyA;mycrhz;pci;richness.05;richness.010;shannon.05;shannon.010;shrubcov.05;shrubcov.010;FRic05;FEve05;FDiv05;RaoQ05;FRic010;FEve010;FDiv010;RaoQ010;Ndef.m;Ntindex;Ndindex;basalA.hectare;stands.hectare;slope;comp;aridity.index;lat;long;pH;CO3;C;N;pbray;NO3;NH4;Ca.mass;Ca.mol;Mg.mass;Mg.mol;K.mass;K.mol;Na.mass;Na.mol;humid;sand;LAB.a.010;LAB.a.05;LAB.r.010;LAB.r.05;CIS.a.010;CIS.a.05;CIS.r.010;CIS.r.05;FAB.a.010;FAB.a.05;FAB.r.010;FAB.r.05;NMDS1;NMDS2
Navahonda Baja;468;H;0;0.054;0.576;0.217;NA;NA;0.58;0.92;1.369;1.688;-0.805;-0.876;0.101;1.099;0.471;4.175;-0.237;1.083;0.704;-0.322;-1.263;-0.233;-0.959;-0.329;-0.584;-0.219;-1.027;0.406;-0.025;0.35;-0.141;-0.102;-0.073103135;-0.451018633;0.263;2.163;-0.545;-0.185;-0.185;1.516;1.514;-0.224;-0.225;0.557;0.555;1.567;1.085;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.702391051;-0.653919299;0.022281063;-0.210718303;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.162512402;0.993478651
Navahonda Baja;469;D;45;-1.156;-0.594;-0.235;-1.237;0.792;-0.788;-0.964;-1.077;-1.19;0.25;-0.228;-0.277;-0.885;-1.231;-0.353;-0.333;-1.094;-1.389;-0.348;-1.391;-1.128;-1.073;-1.135;-0.988;-1.042;-1.051;0.406;-0.025;0.351;-0.289;-0.102;-0.05424751;0.017824531;3.353;2.462;-0.237;-0.078;-0.078;1.525;1.523;-0.202;-0.202;0.04;0.035;0.732;1.124;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.525767254;1.623059559
Navahonda Baja;470;D;70;0.519;0.563;-0.286;NA;NA;0.124;1.296;0.799;1.688;-0.44;-0.031;-0.103;1.527;0.386;-0.041;-0.281;1.257;0.279;-0.332;1.676;-0.505;0.477;-0.516;-0.786;-0.8;-1.285;0.394;-0.034;0.352;-1.082;-0.102;-1.048567476;-1.203121208;-0.61;0.707;-0.266;-0.875;-0.875;-0.611;-0.609;-0.391;-0.391;0.073;0.078;0.253;0.636;-0.211094681;0.030549787;-0.13759289;0.776972813;0.018571723;-0.228611948;0.513890287;0.827459097;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.191452138;0.209784063
Navahonda Baja;471;D;80;-0.132;-1.001;-0.818;0.46;NA;1.492;1.296;0.781;1.091;0.3;0.449;7.613;-0.329;1.051;5.054;-0.048;0.114;1.083;-0.186;-0.293;1.394;0.38;1.083;2.037;-0.717;-0.534;0.394;-0.037;0.353;-1.138;-0.102;-0.804701391;-1.129701671;-0.482;1.344;-0.233;-0.493;-0.493;-0.37;-0.371;-0.451;-0.451;1.406;1.404;1.363;0.78;-0.415804954;-0.151561766;-0.439639396;-0.153170878;-0.454264264;-0.569268258;-0.653681619;-0.824640515;2.62890912;2.641041258;2.789026503;3.965924371;0.051851674;0.250436377
Navahonda Baja;472;D;60;-0.272;0.108;0.132;NA;NA;-0.332;-0.21;0.192;0.284;-0.638;-0.302;-0.277;-0.885;1.262;-0.336;-0.333;0.437;0.987;-0.334;-0.326;0.143;0.445;0.521;-0.181;-0.763;-0.632;0.394;-0.033;0.353;-0.344;-0.102;-0.524381097;-0.665905083;0.833;1.527;-0.386;0.086;0.086;0.583;0.58;-0.355;-0.355;1.125;1.128;1.126;0.867;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.923885403;1.072296942
Navahonda Baja;473;D;70;0.38;1.425;-0.484;-1.188;0.059;0.124;-0.21;0.174;-0.453;-0.292;-0.733;1.472;0.739;1.101;2.4;-0.277;-0.503;1.25;-0.339;-1.391;-1.063;-1.073;-1.035;-0.988;-0.74;-0.46;0.394;-0.031;0.353;-0.196;-0.102;-1.344349382;-1.412472705;-0.014;1.638;-0.655;-0.3;-0.3;-0.44;-0.441;-0.678;-0.678;-0.184;-0.187;-0.272;1.88;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.83294478;1.24194774
Navahonda Baja;474;H;0;1.031;2.484;0.974;NA;NA;-0.788;-0.964;-1.077;-1.19;-0.736;-0.992;-0.277;-0.885;-1.231;-0.353;-0.333;-1.094;-1.389;-0.348;-0.368;-1.337;-1.012;-1.401;-1.189;-0.664;-1.15;0.406;-0.023;0.351;-1.248;-0.102;-0.446444513;-0.486833041;1.132;2.309;-0.544;-0.339;-0.339;1.789;1.789;-0.338;-0.338;1.46;1.457;1.028;0.873;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.737578694;1.896545374
Navahonda Baja;475;H;10;0.287;0.637;1.505;0.636;3.522;0.124;0.543;0.836;1.021;-0.548;-0.612;0.707;0.796;0.828;4.337;-0.294;0.587;0.844;-0.343;-0.794;-0.924;-0.85;-1.049;-0.786;-0.136;-0.189;0.406;-0.016;0.349;-1.377;-0.102;-0.9769161;-1.017537456;-0.08;2.371;-0.493;-0.723;-0.724;-0.024;-0.026;-0.418;-0.417;0.18;0.184;0.797;1.063;-0.440535054;-0.452508824;-0.337408271;-0.466534796;-0.537969686;-0.58414632;0.09653454;-0.420350278;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.304070939;0.457492306
Navahonda Baja;476;H;0;1.031;-0.311;0.876;NA;NA;1.492;1.296;1.701;1.478;0.382;-0.343;1.749;1.57;0.607;4.062;-0.183;1.217;0.761;-0.16;-1.288;-0.082;-0.994;-0.09;-0.383;-0.136;-0.066;0.406;-0.014;0.348;0.523;-0.102;1.240505416;1.12807119;-0.089;1.891;-0.453;0.398;0.398;1.274;1.276;-0.201;-0.201;0.632;0.629;2.021;0.633;0.179091341;0.232724477;0.773193498;0.195011252;-0.658545354;-0.424078897;-0.720253702;-0.627486634;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.689332841;0.49194078
Navahonda Baja;477;H;0;1.171;-0.299;1.201;1.7;NA;-1.244;-1.34;-1.077;-1.19;-0.934;-1.041;-0.277;-0.885;-1.231;-0.353;-0.333;-1.094;-1.389;-0.348;-1.391;-1.467;-1.073;-1.55;-1.391;-0.8;-1.47;0.406;-0.01;0.348;-0.935;-0.102;-1.14913081;-1.086887174;0.83;1.644;-0.397;-0.811;-0.811;0.487;0.487;-0.749;-0.749;-0.454;-0.452;0.158;1.842;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;NA;NA
Navahonda Baja;478;H;0;1.683;3.408;3.545;NA;NA;-0.788;-0.964;-1.077;-1.19;-0.835;-1.016;-0.277;-0.885;-1.231;-0.353;-0.333;-1.094;-1.389;-0.348;-1.263;-1.014;-1.043;-0.999;-0.988;-1.042;-1.47;0.406;-0.007;0.347;-0.861;-0.102;-1.063651976;-1.035119075;2.57;2.914;-0.724;-0.546;-0.546;1.364;1.364;-0.724;-0.724;0.296;0.301;0.253;2.092;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.726559739;2.158214367
Navahonda Baja;479;H;0;2.008;1.007;0.178;0.61;1.543;-1.244;-0.21;-1.077;0.319;-0.934;-0.376;-0.277;-0.885;-1.231;-0.353;-0.328;1.372;0.952;-0.347;-1.391;-0.611;-1.073;-0.55;-0.181;-0.778;-1.47;0.406;-0.012;0.347;-1.008;-0.102;-0.754419724;-0.700091564;0.521;3.327;-0.289;-0.504;-0.504;0.637;0.636;-0.558;-0.558;-0.491;-0.495;1.395;1.483;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.860116966;1.288312048
